index,Zone,District,place_name,place_type,lat,lng,img
0,Koshi,Sunsari,Itahari,city,26.6646,87.2718,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjuor-u5JzkAhULX30KHV59AvQQjRx6BAgBEAQ&url=%2Furl%3Fsa%3Di%26source%3Dimages%26cd%3D%26ved%3D%26url%3Dhttps%253A%252F%252Fwww.youtube.com%252Fwatch%253Fv%253DbwqruNf9k5s%26psig%3DAOvVaw36rVJs30eHd0RandAiU9S-%26ust%3D1566779922902680&psig=AOvVaw36rVJs30eHd0RandAiU9S-&ust=1566779922902680
1,Koshi,Sunsari,Dharan,city,26.8065,87.2846,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwi5h9fF5JzkAhVEbn0KHea9CnMQjRx6BAgBEAQ&url=https%3A%2F%2Fwww.dukenepaltour.com%2Ftrips%2Fdharan-trip%2F&psig=AOvVaw0VbgN5RDhTR7OHgD7kpq5Z&ust=1566780006990586
2,Koshi,Sunsari,Bhedetar,nature,26.8718,87.3265,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwip-7bT5JzkAhUFA3IKHZyvCJEQjRx6BAgBEAQ&url=https%3A%2F%2Fenglish.onlinekhabar.com%2Fthree-reasons-to-visit-bhedetar.html&psig=AOvVaw1dm14j0VzMwwG_t2eKZ5Cd&ust=1566780045537402
3,Koshi,Sunsari,Barahachetra,religious,26.8276,87.1722,
4,Koshi,Sankhuwashaba,Makalu barun national park,wildlife,27.6603,87.1024,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwiVuITh5JzkAhXVb30KHYLkB6oQjRx6BAgBEAQ&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMakalu_Barun_National_Park&psig=AOvVaw3AipbeceNfOxpw47DdxQFt&ust=1566780072454167
5,Koshi,Sankhuwashaba,Sabhapokhari,adventure,27.4434,87.4108,https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiV7aua5ZzkAhWDj-YKHWQ0AlIQjRx6BAgBEAQ&url=http%3A%2F%2Farchive.rapnepal.com%2Fprofile%2F117%2F161&psig=AOvVaw0jZPqEJeSA5xeyxEaQCtCG&ust=1566780117907690
6,Koshi,Sankhuwashaba,Mt. Makalu,adventure,27.886,87.0912,https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwi4vMPP5ZzkAhV56XMBHUvjBbwQjRx6BAgBEAQ&url=https%3A%2F%2Fwww.alamy.com%2Fstock-photo%2Fmakalu-summit.html&psig=AOvVaw38CgO-QKhPrzWai_w58YX9&ust=1566780296633759
7,Koshi,Sankhuwashaba,Manakamana temple,religious,,,
8,Koshi,Sankhuwashaba,kimathanka village,culture,27.84,87.4,
9,Koshi,Sankhuwashaba,kimathanka,adventure,27.84,87.4,
