index,District,Zone,Geographical Region,Region,District_code,VDC_name,VDC_code
0,Taplejung,Mechi,Mountain,Eastern,1,Ambegudin,1001
1,Taplejung,Mechi,Mountain,Eastern,1,Ankhop,1002
2,Taplejung,Mechi,Mountain,Eastern,1,Chaksibote,1003
3,Taplejung,Mechi,Mountain,Eastern,1,Change,1004
4,Taplejung,Mechi,Mountain,Eastern,1,Dhungesaghu,1005
5,Taplejung,Mechi,Mountain,Eastern,1,Dokhu,1006
6,Taplejung,Mechi,Mountain,Eastern,1,Dummrise,1007
7,Taplejung,Mechi,Mountain,Eastern,1,Ekhabu,1008
8,Taplejung,Mechi,Mountain,Eastern,1,Hangdeva,1009
9,Taplejung,Mechi,Mountain,Eastern,1,Hangpang,1010
10,Taplejung,Mechi,Mountain,Eastern,1,Kalikhola,1011
11,Taplejung,Mechi,Mountain,Eastern,1,Khamlung,1012
12,Taplejung,Mechi,Mountain,Eastern,1,Khejenim,1013
13,Taplejung,Mechi,Mountain,Eastern,1,Khewang,1014
14,Taplejung,Mechi,Mountain,Eastern,1,Khokling,1015
15,Taplejung,Mechi,Mountain,Eastern,1,Lelep,1016
16,Taplejung,Mechi,Mountain,Eastern,1,Limbudin,1017
17,Taplejung,Mechi,Mountain,Eastern,1,Lingtep,1018
18,Taplejung,Mechi,Mountain,Eastern,1,Linkhim,1019
19,Taplejung,Mechi,Mountain,Eastern,1,Liwang,1020
20,Taplejung,Mechi,Mountain,Eastern,1,Mamankhe,1021
21,Taplejung,Mechi,Mountain,Eastern,1,Mehele,1022
22,Taplejung,Mechi,Mountain,Eastern,1,Nalbu,1023
23,Taplejung,Mechi,Mountain,Eastern,1,Nankholyang,1024
24,Taplejung,Mechi,Mountain,Eastern,1,Nidhuradin,1025
25,Taplejung,Mechi,Mountain,Eastern,1,Olangchunggola,1026
26,Taplejung,Mechi,Mountain,Eastern,1,Papung,1027
27,Taplejung,Mechi,Mountain,Eastern,1,Pedang,1028
28,Taplejung,Mechi,Mountain,Eastern,1,Phakumba,1029
29,Taplejung,Mechi,Mountain,Eastern,1,Phawakhola,1030
30,Taplejung,Mechi,Mountain,Eastern,1,Phulbari,1031
31,Taplejung,Mechi,Mountain,Eastern,1,Phungling,1032
32,Taplejung,Mechi,Mountain,Eastern,1,Phurumbu,1033
33,Taplejung,Mechi,Mountain,Eastern,1,Sadewa,1034
34,Taplejung,Mechi,Mountain,Eastern,1,Sangu,1035
35,Taplejung,Mechi,Mountain,Eastern,1,Santhakra,1036
36,Taplejung,Mechi,Mountain,Eastern,1,Sanwa,1037
37,Taplejung,Mechi,Mountain,Eastern,1,Sawadin,1038
38,Taplejung,Mechi,Mountain,Eastern,1,Sawalakhu,1039
39,Taplejung,Mechi,Mountain,Eastern,1,Sikaicha,1040
40,Taplejung,Mechi,Mountain,Eastern,1,Sinam,1041
41,Taplejung,Mechi,Mountain,Eastern,1,Surumakhim,1042
42,Taplejung,Mechi,Mountain,Eastern,1,Tapethok,1043
43,Taplejung,Mechi,Mountain,Eastern,1,Tellok,1044
44,Taplejung,Mechi,Mountain,Eastern,1,Thechambu,1045
45,Taplejung,Mechi,Mountain,Eastern,1,Thinglabu,1046
46,Taplejung,Mechi,Mountain,Eastern,1,Thukima,1047
